"","folio","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","coche","propiedad","piso_tierra","piso_cemento","piso_otro","bin_sex","share_h","share_ocup","hablaind","inst","prospera","adultom","rururb","tam_grande","tam_med","tam_medpeq","tam_peq","ent","mun","region","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","factor","upm"
"29","0100100010426001890101",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0.5,1,0,NA,0,1,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"30","0100100010426001890301",1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0.25,0.5,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1120,6
"31","0100100010426001910101",1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.857142857142857,0.714285714285714,1,NA,0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"32","0100100010426001910201",1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0.5,1,0,"IMSS",0,0,0,1,0,0,0,"01","01001",3,0,0,1,0,0,0,0,808,6
"33","0100100010426004890201",1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0.5,1,0,NA,1,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"34","0100100010426004910401",1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0.5,0.166666666666667,0,NA,1,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,760,6
"35","0100100010426016890501",1,0,0,0,0,0,1,1,1,0,1,1,2,1,0,0,1,0,0.4,0.4,1,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,1,0,0,0,0,0,597,6
"36","0100100010426016890502",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0.666666666666667,0.666666666666667,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,597,6
"37","0100100010426016900301",1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0.666666666666667,0,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1120,6
"38","0100100010445009830501",0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0.5,0,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,1291,6
"39","0100100010445009840201",1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.6,0.6,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"40","0100100010445009850201",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0.625,0.625,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,808,6
"41","0100100010445010830501",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.6,0.4,0,"Otro",1,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,303,6
"42","0100100010445010840201",1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.428571428571429,0.285714285714286,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,1,0,0,0,0,0,0,303,6
"43","0100100010445010850401",0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0.5,0.5,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,1291,6
"44","0100100010445019830102",0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"45","0100100010445019840101",1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0.5,0.25,0,"Otro",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,397,6
"46","0100100010445019850301",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.6,0.4,0,"Otro",0,0,0,1,0,0,0,"01","01001",3,0,0,0,1,0,0,0,1688,6
"47","0100100010676012910101",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,303,6
"48","0100100010676012910301",0,0,0,0,0,1,1,1,1,1,1,1,5,0,0,0,1,1,0.5,0.75,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,1688,6
"49","0100100010676012910501",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0.5,0.5,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,0,0,597,6
"50","0100100010676021910101",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0.5,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,303,6
"51","0100100010676021910201",0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0.333333333333333,0.666666666666667,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"52","0100100010676021910202",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,NA,0,1,0,1,0,0,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"53","0100100010676021910401",0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,1,1,0.333333333333333,0.666666666666667,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,1315,6
"54","0100100010676024910201",0,0,0,0,1,0,0,1,0,1,1,1,3,0,0,0,1,0,1,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,1907,6
"55","0100100010676024910501",0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0.5,0,1,"IMSS",0,1,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,0,1291,6
"56","0100100010708007830101",0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0.5,0.25,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,0,397,6
"57","0100100010708007830301",0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,1,1120,6
"58","0100100010708007830402",0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0.5,0.5,0,NA,0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1291,6
"59","0100100010708017830101",0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0.2,0.2,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,0,303,6
"60","0100100010708017830201",0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0.25,0.5,1,"ISSSTE",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,0,808,6
"61","0100100010708017830202",0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0.666666666666667,0,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,1,0,0,808,6
"62","0100100010708021830101",0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,1,1,0,0.333333333333333,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,0,0,0,0,303,6
"63","0100100010708021830501",0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0.333333333333333,0,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,1291,6
"64","0100100010708021830502",0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0.666666666666667,0,"IMSS",0,0,0,0,0,0,1,"01","01001",3,0,0,1,0,0,0,0,1291,6
"65","0100100010712009890201",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"66","0100100010712009890401",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0.333333333333333,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,1,0,0,1315,6
"67","0100100010712009890501",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0.5,0.25,0,"ISSSTE",0,1,0,1,0,0,0,"01","01001",3,0,0,0,0,1,0,0,1291,6
"68","0100100010712015910101",0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0.4,0.2,0,"IMSS",0,1,0,0,0,1,0,"01","01001",3,0,0,0,0,0,0,0,303,6
"69","0100100010712015910201",0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,1,"01","01001",3,0,0,0,1,0,0,0,808,6
"70","0100100010712015910202",0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0.5,0.5,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"71","0100100010712019910101",0,0,0,0,1,0,1,1,1,1,1,1,2,0,0,0,1,1,0.4,0.4,0,"ISSSTE",0,0,0,0,0,1,0,"01","01001",3,0,0,0,0,0,1,0,303,6
"72","0100100010712019910301",0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0.6,0.2,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1688,6
"73","0100100010712019910501",0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0.5,0.5,0,"IMSS",0,0,0,0,0,1,0,"01","01001",3,0,0,1,0,0,0,0,1291,6
"74","0100100010784002850101",0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0.666666666666667,0.666666666666667,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,303,6
"75","0100100010784002850501",1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0.25,0,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,1291,6
"76","0100100010784002850502",0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0.5,0.5,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,0,0,1291,6
"77","0100100010784003850101",0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0.6,0.4,0,"ISSSTE",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,303,6
"78","0100100010784003850201",0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0.25,0.5,0,"IMSS",0,1,0,0,1,0,0,"01","01001",3,0,0,0,1,0,0,0,1907,6
"79","0100100010784003850401",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,"Otro",0,0,0,0,1,0,0,"01","01001",3,0,0,1,0,0,0,0,1758,6
"80","0100100010784004850203",0,0,1,0,0,0,1,1,0,0,1,0,3,1,0,0,1,0,0.666666666666667,0.666666666666667,0,"IMSS",0,0,0,0,1,0,0,"01","01001",3,0,0,0,0,0,1,0,808,6
"81","0100100010784004850301",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0.5,0,"Otro",0,1,0,1,0,0,0,"01","01001",3,0,0,0,0,0,1,0,1688,6
"82","0100100010784004850303",0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.428571428571429,0.285714285714286,0,"Otro",0,0,0,0,0,1,0,"01","01001",3,0,0,0,1,0,0,0,1120,6
