,0
0,-183531731078.2157
1,2.58819580078125
2,-183531731078.31622
3,1.87213134765625
4,1.47137451171875
5,2.73602294921875
6,3.2086181640625
7,1.70538330078125
8,2.52178955078125
9,3.513916015625
10,2.07940673828125
11,-99795503563.32013
12,1.92327880859375
13,3.90338134765625
14,2.62884521484375
15,2.30902099609375
16,1.57122802734375
17,2.0313720703125
18,3.12567138671875
19,-99795503563.03833
20,2.25189208984375
21,3.35162353515625
22,2.60931396484375
23,3.22015380859375
24,-99795503563.04822
25,3.17254638671875
26,2.43267822265625
27,2.61895751953125
28,-99795503561.99689
29,1.99493408203125
30,-99795503562.29279
31,2.48431396484375
32,-99795503561.8034
33,-99795503562.93323
34,2.472900390625
35,2.63128662109375
36,1.87286376953125
37,2.10150146484375
38,2.40631103515625
39,2.26611328125
40,1.31256103515625
41,1.81719970703125
42,1.9339599609375
43,1.3416748046875
44,2.06402587890625
45,1.41619873046875
46,3.2630615234375
47,3.68798828125
48,-183531731078.2124
49,2.66448974609375
50,3.15118408203125
51,-99795503562.34741
52,3.168701171875
53,3.59051513671875
54,-183531731079.3272
55,-183531731078.59552
56,2.99066162109375
57,-99795503562.3432
58,-183531731078.57715
59,-183531731078.45898
60,2.15069580078125
61,-183531731078.23206
62,1.80596923828125
63,2.56890869140625
64,3.57452392578125
65,1.765869140625
66,2.4495849609375
67,-183531731079.00256
68,-99795503562.6341
69,2.61859130859375
70,2.94921875
71,1.59234619140625
72,2.1103515625
73,2.23980712890625
74,1.98419189453125
75,-183531731078.8216
76,2.7330322265625
77,2.19244384765625
78,2.18035888671875
79,3.32342529296875
80,2.05694580078125
81,1.65509033203125
82,3.706787109375
83,2.27276611328125
84,2.45147705078125
85,-99795503561.93042
86,2.03680419921875
87,2.50030517578125
88,1.787109375
89,3.714599609375
90,-99795503562.94598
91,2.31829833984375
92,2.0751953125
93,2.09796142578125
94,2.28289794921875
95,2.13116455078125
96,-99795503563.2846
97,1.49359130859375
98,1.96722412109375
99,-99795503562.6709
100,2.79351806640625
101,2.28277587890625
102,1.72235107421875
103,-99795503562.5058
104,3.04901123046875
105,3.7041015625
106,-183531731079.71454
107,2.58294677734375
108,-183531731078.7417
109,2.94891357421875
110,2.78118896484375
111,-99795503561.78839
112,2.04473876953125
113,2.22802734375
114,2.7005615234375
115,1.31842041015625
116,-183531731078.7807
117,3.33648681640625
118,1.84136962890625
119,-99795503562.68213
120,2.19964599609375
121,2.45587158203125
122,2.22833251953125
123,2.43157958984375
124,2.24810791015625
125,2.48089599609375
126,3.3172607421875
127,1.62701416015625
128,3.57452392578125
129,3.23260498046875
130,2.43927001953125
131,3.60076904296875
132,3.1265869140625
133,3.2999267578125
134,3.26641845703125
135,3.08404541015625
136,-183531731078.06763
137,-99795503562.29065
138,2.54833984375
139,2.8492431640625
140,2.3995361328125
141,-99795503562.33978
142,1.83758544921875
143,2.527587890625
144,-99795503561.91382
145,2.878662109375
146,2.2210693359375
147,1.94598388671875
148,2.73480224609375
149,2.89849853515625
150,2.1097412109375
151,2.16949462890625
152,2.22113037109375
153,2.13189697265625
154,-99795503562.0216
155,2.73211669921875
156,2.15252685546875
157,2.48211669921875
158,3.13055419921875
159,2.7677001953125
160,2.96197509765625
161,3.42010498046875
162,2.71624755859375
163,3.00628662109375
164,2.29425048828125
165,2.27850341796875
166,2.67840576171875
167,2.41778564453125
168,1.98150634765625
169,2.40362548828125
170,3.16943359375
171,3.3868408203125
172,2.37322998046875
173,2.58258056640625
174,2.20062255859375
175,2.31475830078125
176,2.11273193359375
177,1.7000732421875
178,2.92510986328125
179,3.09796142578125
180,2.69049072265625
181,2.9334716796875
182,-183531731077.59253
183,2.718505859375
184,2.8865966796875
185,2.60107421875
186,2.24566650390625
187,1.67584228515625
188,2.39459228515625
189,1.98236083984375
190,1.94781494140625
191,2.97027587890625
192,3.32879638671875
193,2.98309326171875
194,2.89898681640625
195,3.115234375
196,2.56707763671875
197,3.11737060546875
198,2.38323974609375
199,2.8099365234375
200,2.89434814453125
201,2.48297119140625
202,1.45721435546875
203,2.24249267578125
204,-99795503562.22449
205,3.40155029296875
206,2.4193115234375
207,2.62493896484375
208,3.0062255859375
209,2.52337646484375
210,3.45367431640625
211,3.43756103515625
212,-183531731077.86224
213,2.26922607421875
214,1.9093017578125
215,1.77777099609375
216,2.33770751953125
217,2.87359619140625
218,-183531731078.31622
219,3.10247802734375
220,2.47113037109375
221,2.6982421875
222,3.40093994140625
223,3.26556396484375
224,3.3397216796875
225,3.136474609375
226,3.47467041015625
227,2.46966552734375
228,3.1409912109375
229,2.70819091796875
230,2.12872314453125
231,3.7149658203125
232,3.0450439453125
233,2.54156494140625
234,2.76275634765625
