"","y","ginc_1_2","ginc_3","ginc_4","ginc_5","ginc_6","ginc_7","bin_telefono","bin_celular","bin_tvpaga","bin_conex_inte","bin_agua","bin_electricidad","bin_sex","coche","propiedad","piso_tierra","piso_cemento","piso_otro","share_h","share_ocup","inst_IMSS","inst_IMSS Prospera","inst_ISSSTE","inst_Otro","inst_PEMEX","hablaind","prospera","adultom","tam_grande","tam_med","tam_medpeq","tam_peq","no_edu","kinder","primaria","secundaria","preparatoria","licenciatura","postgrado","ent_01","ent_02","ent_03","ent_04","ent_05","ent_06","ent_07","ent_08","ent_09","ent_10","ent_11","ent_12","ent_13","ent_14","ent_15","ent_16","ent_17","ent_18","ent_19","ent_20","ent_21","ent_22","ent_23","ent_24","ent_25","ent_26","ent_27","ent_28","ent_29","ent_30","ent_31","ent_32","rururb","ent","region"
"2137",12040.4375,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2138",9815.10333333333,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0.666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2139",36019.31,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2140",9003.6825,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2141",12997.4366666667,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2142",17987.695,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2143",6538.56333333333,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0.666666666666667,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2144",12574.1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0.5,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2145",10514.105,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2146",22957.12,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2147",3248.485,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0.5,0.25,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2148",4916.935,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2149",6634.87,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0.333333333333333,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2150",11522.815,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0.25,0.75,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
"2151",6932.81333333333,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0.666666666666667,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"03",2
