"ent","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio"
1,1,0.0243310425701595,0.299968522241881,0.378461035294288,0.367518604768368,0.0312683101890337,1.23948065797271,0.69456361924883
1,2,0.0307102997747158,0.325220414452638,0.78498885157282,0.0312417939431374,0.0312683101890337,1.23948065797271,0.709209716731069
1,3,0.0269277532549487,0.42173259960832,0.899348126365949,0.0260131056948613,0.0312683101890337,1.23948065797271,0.765186784121364
1,4,0.0389609056863897,0.50149934375818,0.987648299997639,0.0148176030985695,0.0312683101890337,1.23948065797271,0.811451495728283
1,5,0.0439190895949007,0.515447101767527,1.04335179965213,0.0199117130101099,0.0312683101890337,1.23948065797271,0.819541195373704
1,6,0.0185061188575893,0.48376647673072,1.11583439331839,0.0226794013955111,0.0312683101890337,1.23948065797271,0.801166432852356
1,7,0.0357988060018408,0.528631100080797,1.18022667094322,0.0113766681893907,0.0312683101890337,1.23948065797271,0.827187914395401
1,8,0.0326629924802535,0.529437756068294,1.22683219913429,0.0230529011253094,0.0312683101890337,1.23948065797271,0.827655774868149
1,9,0.0265119374325429,0.630729610983504,1.29083458784426,0.014118665272292,0.0312683101890337,1.23948065797271,0.886405050718971
1,10,0.0328725637411073,0.554466418862986,1.32841631498176,0.00666366698171859,0.0312683101890337,1.23948065797271,0.842172399289071
1,11,0.0421233536271162,0.62824839961902,1.36704261208537,0.0101683804071154,0.0312683101890337,1.23948065797271,0.88496594812757
1,12,0.0423229808510186,0.594550647769726,1.3961145762967,0.00774241153718597,0.0312683101890337,1.23948065797271,0.86542125205498
1,13,0.0527619189879334,0.61400037631194,1.4232964063864,0.0104296869189542,0.0312683101890337,1.23948065797271,0.876702094609464
1,14,0.0440736763648335,0.629569465746559,1.45676992181142,0.00934305570056349,0.0312683101890337,1.23948065797271,0.885732166481543
1,15,0.0543239631897714,0.60083589609294,1.49062950407767,0.00956331447158526,0.0312683101890337,1.23948065797271,0.869066696082444
1,16,0.0431778135041831,0.69294393358125,1.51317570556107,0.00561037982638069,0.0312683101890337,1.23948065797271,0.922489357825664
1,17,0.0430625066834871,0.700236407228292,1.54112101687408,0.00871577851066477,0.0312683101890337,1.23948065797271,0.926718992540948
1,18,0.0434380095087817,0.72029064867711,1.56231740350843,0.00468701661021224,0.0312683101890337,1.23948065797271,0.938350452581263
1,19,0.040743442471813,0.743449000851229,1.58676956864549,0.00981236262361083,0.0312683101890337,1.23948065797271,0.951782296842252
1,20,0.0419546276441126,0.696859057205169,1.61143810574424,0.0057301796589878,0.0312683101890337,1.23948065797271,0.924760129527537
1,21,0.0476402614706441,0.674951672484947,1.63478996387203,0.00584801082888275,0.0312683101890337,1.23948065797271,0.912053846389808
1,22,0.0404593302375874,0.653490830123468,1.65052131274096,0.00334901072837449,0.0312683101890337,1.23948065797271,0.89960655782015
1,23,0.0752547643171155,0.744430187485971,1.66793391568744,0.00573669810036911,0.0312683101890337,1.23948065797271,0.952351385090402
1,24,0.0712566055753603,0.738496340807663,1.69112518900953,0.00821360940966563,0.0312683101890337,1.23948065797271,0.948909754016983
1,25,0.0711498863272725,0.741004209822869,1.71538608600833,0.00706774206200675,0.0312683101890337,1.23948065797271,0.950364318045803
1,26,0.0439755137356188,0.720221431896714,1.73883744171469,0.00453120683974887,0.0312683101890337,1.23948065797271,0.938310306848633
1,27,0.0490698714958872,0.815846336011813,1.7588157710804,0.00678901162283252,0.0312683101890337,1.23948065797271,0.993772751235391
1,28,0.040020797977104,0.775720651632843,1.77800572450358,0.00503610944107305,0.0312683101890337,1.23948065797271,0.970499854295588
1,29,0.0555665934666078,0.776215697398262,1.79713852098922,0.00683465553122451,0.0312683101890337,1.23948065797271,0.970786980839531
1,30,0.0633893405403199,0.828685392450169,1.82163542743671,0.00552450118955038,0.0312683101890337,1.23948065797271,1.00121940396964
1,31,0.0526323381426614,0.89421501461182,1.83994447398207,0.00622404089607362,0.0312683101890337,1.23948065797271,1.03922658482339
1,32,0.0573645721213297,0.887383036924771,1.85658151524223,0.00431748644286649,0.0312683101890337,1.23948065797271,1.03526403776491
1,33,0.0436669917711334,0.79621062389188,1.87137945722548,0.00535388293129995,0.0312683101890337,1.23948065797271,0.982384038205829
1,34,0.0503753061232651,0.826702910243077,1.89089629260141,0.00540638682426037,0.0312683101890337,1.23948065797271,1.00006956428952
1,35,0.0769385167390628,0.839686178387629,1.90743975178995,0.00472300366380479,0.0312683101890337,1.23948065797271,1.00759985981336
1,36,0.0526109319471304,0.796708463321345,1.92081571317583,0.00341348778232818,0.0312683101890337,1.23948065797271,0.982672785074919
1,37,0.0412003851500492,0.788733100667244,1.9357207741014,0.00497948265545108,0.0312683101890337,1.23948065797271,0.978047074735541
1,38,0.0752784104973817,0.86693682599707,1.95233074858994,0.00418721886225444,0.0312683101890337,1.23948065797271,1.02340523542684
1,39,0.0592850801152012,0.921372680484562,1.96769521813529,0.00558075972196162,0.0312683101890337,1.23948065797271,1.05497803102958
1,40,0.0490820757142117,0.879977417900657,1.98150340102185,0.00396571174235547,0.0312683101890337,1.23948065797271,1.03096877873092
1,41,0.040219127903326,0.910348908385517,1.99521899796885,0.00315786149250314,0.0312683101890337,1.23948065797271,1.04858424321214
1,42,0.0549949841125366,0.916546813009008,2.00907887953073,0.00635624316320981,0.0312683101890337,1.23948065797271,1.05217902789376
1,43,0.0738020499940299,0.817411198900388,2.03079072593547,0.00414078019584912,0.0312683101890337,1.23948065797271,0.994680371710764
