"","folio","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup"
"257","0100100012348014850201",-2.77255260282713,0,0,6,0,0,"NT"
"258","0100100012348014850301",-1.88762000532471,1,0,6,0,6,"07"
"259","0100100012348014850401",-2.38083932026695,1,0,6,3,2,"07"
"260","0100100012348024850101",3.20960466820895,1,0,6,0,3,"06"
"261","0100100012348024850102",0.776439316341567,1,0,6,0,0,"NT"
"262","0100100012348024850501",-2.95915296068516,1,0,6,0,0,"08"
"263","0100100012526001900101",0.858725637752267,1,0,6,0,0,"04"
"264","0100100012526001900102",4.87076144179292,1,0,6,6,6,"02"
"265","0100100012526001900201",1.44166436743222,0,0,6,0,3,"NT"
"266","0100100012526013900201",3.1855635924285,0,0,6,12,6,"08"
"267","0100100012526013900301",6.1766508058901,0,0,6,6,9,"01"
"268","0100100012526013900501",5.01124994343637,1,0,6,0,0,"08"
"269","0100100012526017900201",1.60645958169512,0,0,6,0,6,"06"
"270","0100100012526017900401",3.88230463373095,1,0,6,6,9,"04"
"271","0100100012526017900501",4.18793425349556,1,0,4,6,3,"04"
"272","010010001255A017830201",3.24660732318677,0,0,6,0,6,"NT"
"273","010010001255A017830401",-0.789250686357434,1,0,6,0,6,"07"
"274","010010001255A017830501",3.48431641067723,1,0,6,3,3,"08"
"275","010010001255A020830101",5.08685058166832,1,0,6,0,9,"04"
"276","010010001255A020830301",4.43819821910433,0,1,4,12,9,"05"
"277","010010001255A020830302",3.35563803446025,1,0,3,0,3,"NT"
"278","010010001255A038830101",-2.32708929746534,1,0,6,3,3,"07"
"279","010010001255A038830201",-2.03899383879539,0,0,6,6,0,"09"
"280","010010001255A038830401",-4.12842271838587,1,0,6,3,6,"07"
"281","0100100012634015890301",-1.9203104754323,0,0,6,12,8,"07"
"282","0100100012634015890302",-0.014390014462295,0,0,6,0,12,"NT"
"283","0100100012634015890501",4.92025149925651,0,0,NA,3,16,"NT"
"284","0100100012634023890101",0.75150430454432,1,0,6,0,0,"04"
"285","0100100012634023900101",-3.39851777949304,1,1,6,6,0,"08"
"286","0100100012634023900401",0.341817102517327,1,0,6,5,6,"06"
"287","0100100012634029890501",4.67851167750431,0,0,6,0,6,"NT"
"288","0100100012634029900201",0.650641064488517,0,0,3,4,0,"07"
"289","0100100012634029900202",5.71078131012888,0,0,6,18,12,"02"
"290","0100100012672002830101",3.73930228350009,1,0,6,9,9,"01"
"291","0100100012672002830201",3.74543664193245,0,0,3,3,3,"04"
"292","0100100012672002830301",4.46851123493261,0,0,6,17,12,"03"
"293","0100100012672002830501",6.05179461877026,1,0,6,3,6,"04"
"294","0100100012672008840101",4.44880700453155,1,0,6,12,12,"04"
"295","0100100012672008840201",6.82530316845409,0,0,6,0,0,"06"
"296","0100100012672008840501",5.07024751757591,0,0,6,0,5,"08"
"297","0100100012672030850301",-1.81177150742424,0,0,6,6,9,"NT"
"298","0100100012672030850401",-1.34910714596093,1,0,6,6,6,"99"
"299","0100100012672030850501",-1.1628250117662,0,0,6,3,4,"09"
"300","0100100012687012890101",2.69181020327062,1,0,6,5,6,"06"
"301","0100100012687012890201",0.304841619799348,0,0,6,9,6,"04"
"302","0100100012687012890202",1.40308414403491,0,0,6,6,5,"07"
"303","0100100012687029890101",3.99103021060412,1,0,6,6,0,"09"
"304","0100100012687029890301",-1.83458367046475,0,0,6,16,0,"07"
"305","0100100012687029890401",3.96324461972005,0,0,6,12,9,"03"
"306","0100100012687040890301",3.49278373977137,0,0,6,9,6,"03"
"307","0100100012687040890401",1.21579949520855,1,0,6,5,6,"07"
"308","0100100012687040890501",2.31980556730657,1,0,6,0,0,"06"
"309","0100100012719013840101",4.45308176858294,1,0,6,9,9,"04"
"310","0100100012719013840201",-2.11947951439507,0,0,6,0,0,"06"
"311","0100100012719013840501",5.30540653344632,1,0,6,6,6,"07"
"312","0100100012719024830301",5.3627248528906,1,0,6,16,16,"02"
"313","0100100012719024830302",1.85450512933023,1,0,6,16,16,"02"
"314","0100100012719024830501",-2.75667525482942,1,0,4,0,6,"NT"
"315","0100100012719050850101",3.35523141130245,1,0,NA,6,2,"NT"
"316","0100100012719050850201",3.50473545049778,0,0,6,6,6,"09"
"317","0100100012719050850401",-1.46196557122826,1,0,NA,0,0,"06"
"318","010010001287A002910101",0.959787272305833,1,0,NA,12,12,"02"
"319","010010001287A002910301",4.02512480466748,0,0,6,16,16,"02"
"320","010010001287A002910401",5.73837169416382,0,0,6,12,10,"03"
"321","010010001287A010910102",-2.23819103031358,1,0,6,16,9,"NT"
"322","010010001287A010910201",5.9827780000064,0,0,6,12,6,"NT"
"323","010010001287A010910202",5.2187409859487,0,0,3,0,0,"09"
"324","010010001287A028910301",6.1766508058901,1,0,6,12,12,"04"
"325","010010001287A028910501",1.70954733294618,0,0,6,15,9,"NT"
"326","010010001287A028910502",5.19586265447225,1,0,6,0,0,"03"
"327","0100100012884003840201",6.39328893640354,0,0,6,6,9,"02"
"328","0100100012884003840401",-0.695769103209243,1,0,6,2,2,"04"
"329","0100100012884003840501",5.65189811682495,0,0,2,0,0,"07"
"330","0100100012884010850101",-0.253249021200565,1,0,6,16,0,"NT"
"331","0100100012884010850201",4.39229469968737,0,0,6,3,3,"06"
"332","0100100012884010850401",0.767270540247345,1,0,6,16,12,"02"
"333","0100100012884024830101",3.93344639330023,1,0,6,3,3,"06"
"334","0100100012884024830201",2.88551184850476,0,0,6,16,12,"03"
"335","0100100012884024830301",1.99766778106223,1,0,6,16,9,"02"
"336","0100100012884024830302",1.70990208494812,0,0,6,16,12,"NT"
"337","0100100012973004910101",-2.10853362419321,1,0,6,0,0,"NT"
"338","0100100012973004910501",-1.96685843123912,1,1,6,0,0,"07"
"339","0100100012973013890301",3.52270656313243,0,0,6,0,12,"05"
"340","0100100012973013890401",0.395237879409875,1,0,NA,6,6,"06"
"341","0100100012973013890501",2.40485972659462,1,0,6,6,0,"07"
"342","0100100012973018900101",-3.42906592376641,1,0,NA,0,0,"07"
"343","0100100012973018900201",1.53652094479605,0,0,6,0,0,"06"
"344","0100100012973018900202",-0.0288044856898915,0,0,6,6,6,"08"
"345","0100100013045010830301",3.7272759321544,1,0,6,6,6,"07"
"346","0100100013045010830401",-4.20145896203529,1,0,6,6,6,"08"
"347","0100100013045010850101",2.91402332182345,1,0,6,6,6,"04"
"348","0100100013045026830201",1.10175825354355,0,0,6,6,6,"06"
"349","0100100013045026830202",4.75054955681744,0,0,6,0,6,"08"
"350","0100100013045026830301",-1.64388380883862,1,0,6,6,9,"06"
"351","0100100013045028850101",-2.65988006810644,1,0,6,6,12,"NT"
"352","0100100013045028850401",2.8453038923448,0,0,6,6,6,"08"
"353","0100100013045028850501",2.40774555304727,1,0,6,4,4,"99"
"354","0100100013064004900101",3.40845792761432,1,0,6,0,6,"07"
"355","0100100013064004900401",-1.56286418345582,1,0,6,0,0,"NT"
"356","0100100013064004900501",-4.61234710693205,1,0,6,3,2,"09"
"357","0100100013064008900101",0.300583315145863,1,0,6,0,0,"07"
"358","0100100013064008900201",-0.381107441845809,0,0,6,9,9,"08"
"359","0100100013064008900301",1.44955376490168,1,0,6,12,12,"09"
"360","0100100013064008900401",0.396122615098407,0,0,6,16,12,"02"
"361","0100100013064009900201",-1.10751998127345,0,0,6,6,0,"07"
"362","0100100013064009900301",3.70490649672726,1,0,6,6,0,"NT"
"363","0100100013079019850201",-0.360518597880914,0,0,6,9,9,"04"
"364","0100100013079019850202",-3.12334663190048,0,0,6,3,6,"04"
"365","0100100013079019850301",4.48090581047376,0,0,6,17,12,"02"
"366","0100100013079022830101",2.96520575214524,1,0,NA,17,16,"03"
"367","0100100013079022830201",-3.0462493871666,0,0,6,9,0,"09"
"368","0100100013079022830401",1.26633675032396,1,0,6,3,3,"04"
"369","0100100013079028840101",4.7942992487757,1,0,6,5,6,"02"
"370","0100100013079028840301",6.39328893640354,1,0,6,6,6,"04"
"371","0100100013079028840501",-1.08770248450047,1,0,6,0,0,"06"
"372","0100100013083006900101",5.14908649698124,1,0,6,16,9,"01"
"373","0100100013083006900201",1.35624927515978,0,0,6,14,12,"04"
"374","0100100013083006900401",-0.553569192244951,1,0,6,9,6,"04"
"375","0100100013083023900101",5.30926080703876,1,0,6,6,6,"04"
"376","0100100013083023900201",0.406748050421323,0,0,6,0,6,"08"
"377","0100100013083023900301",0.213108647731481,0,0,6,9,16,"04"
"378","0100100013083025900301",4.63098983281769,0,0,6,16,6,"02"
"379","0100100013083025900401",0.286107313439766,1,0,6,6,6,"07"
"380","0100100013083025900501",2.37678625352313,0,0,6,0,0,"NT"
"381","0100100013257004830201",-1.13687032801371,0,0,6,3,3,"07"
"382","0100100013257004830401",0.219102514260022,1,0,6,6,6,"07"
"383","0100100013257004830501",5.82642739083424,1,0,6,6,6,"04"
"384","0100100013257034830101",6.57817130898022,1,0,6,17,18,"03"
"385","0100100013257034830102",0.140070016959347,1,0,6,6,9,"04"
"386","0100100013257034830301",2.91086192002399,1,0,6,0,12,"NT"
"387","0100100013257039830101",-3.12454748221547,1,0,6,6,6,"06"
"388","0100100013257039830201",-0.18603769712576,0,0,NA,0,0,"NT"
"389","0100100013257039830301",-3.53883021300743,1,0,6,2,2,"09"
"390","0100100013276001890101",-3.25212249067392,1,0,6,0,0,"NT"
"391","0100100013276006890401",-2.42805228084664,1,0,6,9,12,"07"
"392","0100100013276006900101",-1.43542484093398,1,0,6,0,6,"NT"
"393","0100100013276006900201",4.87799841380019,0,0,6,5,3,"06"
"394","0100100013276006900202",2.25598708793005,0,0,6,3,6,"08"
"395","0100100013276034890301",1.02010921558265,0,0,6,5,6,"07"
"396","0100100013276034890501",3.25902126264621,1,0,6,0,0,"03"
"397","0100100013276034900301",3.67665453105782,1,0,6,12,17,"02"
"398","0100100013276034900401",5.59924612375643,1,0,6,17,12,"02"
"399","0100100013308002850101",-0.113287781162372,1,0,3,6,4,"NT"
"400","0100100013308002850501",-3.08924293086206,0,1,6,3,9,"06"
"401","0100100013308002850502",-4.21683508381308,0,0,6,6,6,"NT"
