"","region","rururb","y_hat","index","sex","ethnicity","birth_region","father_educ","mother_educ","father_ocup","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio","alpha","y","y_hat_BC_WC"
"938",2,0,2.74447631835938,-1.36827743894807,1,0,6,0,0,"NT",76,0.0551149127124247,1.14005279430383,2.60716443935982,0.00747370476515075,0.0145234930357752,1.22860680097111,1.17814119377585,0.43011491975882,22892.8941345939,26971.0616247146
"939",2,0,3.17398071289062,2.08912128520928,1,0,6,15,15,"02",90,0.072350831278091,1.49436748475027,3.10815058602973,0.0135192680556251,0.0145234930357752,1.22860680097111,1.38005984957155,0.43011491975882,35174.8365822068,48543.3796823441
"940",2,0,1.92849731445312,-3.6438900485921,0,0,6,0,0,"NT",27,0.0298985609876307,0.697074663292071,1.63284473982972,0.00632181686496191,0.0145234930357752,1.22860680097111,0.925694566039123,0.43011491975882,10123.3795799847,9371.15746714327
"941",2,0,3.47714233398438,0.956980689252203,0,0,NA,0,15,"02",96,0.0663478564485421,1.86482189829308,3.51927490594605,0.0242026889650094,0.0145234930357752,1.22860680097111,1.59117629275909,0.43011491975882,47631.4176527958,75789.9825596355
"942",2,0,3.27218627929688,0.0471738276124887,0,0,6,0,0,"06",92,0.0717340727150482,1.68397951600403,3.22373509129533,0.0199008627983152,0.0145234930357752,1.22860680097111,1.48811691721729,0.43011491975882,38804.5118066502,57745.6504838343
"943",2,0,3.02029418945312,-3.4534166796329,0,0,6,8,12,"03",86,0.0657183364528406,1.47571144980411,2.93992950072748,0.0111915124266541,0.0145234930357752,1.22860680097111,1.36942805359927,0.43011491975882,30163.8574260044,41307.2325639391
"944",2,0,2.02090454101562,-3.55892937176635,1,0,6,0,6,"04",34,0.0257127539380735,0.861717992378849,1.77131224208816,0.00588962513288308,0.0145234930357752,1.22860680097111,1.01952234284692,0.43011491975882,11103.4379463975,11320.2030687666
"945",2,0,2.43887329101562,-4.58433784699748,1,0,6,3,2,"06",60,0.0508387991663801,0.945865813886746,2.2476138423998,0.00690004412399851,0.0145234930357752,1.22860680097111,1.06747693085907,0.43011491975882,16864.714423165,18002.6935922548
"946",2,0,2.39254760742188,-1.02042355479201,1,0,6,0,0,"NT",57,0.0413847195745755,0.952657628794758,2.18651237805435,0.00565790001176012,0.0145234930357752,1.22860680097111,1.0713474848429,0.43011491975882,16101.2651825552,17250.0499561191
"947",2,1,2.13430786132812,-4.32963747598758,0,0,6,0,9,"NT",40,0.0377168915632238,0.812372224806382,1.87573765296524,0.00499061185741816,0.0145234930357752,1.22860680097111,0.991400926134319,0.43011491975882,9466.01458874162,9384.61563007942
"948",2,1,1.71517944335938,-8.34070794471636,0,0,6,0,0,"NT",16,0.0244657154436849,0.644767591019465,1.35927129688548,0.0074848804972775,0.0145234930357752,1.22860680097111,0.895885545959868,0.43011491975882,6225.03804940873,5576.9216115155
"949",2,1,1.72024536132812,-2.64287640567233,1,0,NA,0,0,"NT",16,0.0244657154436849,0.644767591019465,1.35927129688548,0.0074848804972775,0.0145234930357752,1.22860680097111,0.895885545959868,0.43011491975882,6256.65359478526,5605.24552164596
