"ent","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio","alpha"
"01",1,0.0197069243991622,0.268171221634422,0.186214380795624,0.315608785488622,0.0206712196603289,1.18758498070385,0.649833590455684,0.41511491975882
"01",2,0.0308024275287259,0.408231369410835,0.617188091239345,0.0472420012387748,0.0206712196603289,1.18758498070385,0.731752681226483,0.41511491975882
"01",3,0.0328106353581728,0.467534956157961,0.760864899274706,0.0294460052311714,0.0206712196603289,1.18758498070385,0.766438464319665,0.41511491975882
"01",4,0.03216198010306,0.451487229158829,0.860067551077039,0.0334947538196507,0.0206712196603289,1.18758498070385,0.75705238822609,0.41511491975882
"01",5,0.033442101047132,0.532379139655288,0.957041510033055,0.0249202236823054,0.0206712196603289,1.18758498070385,0.804364859787674,0.41511491975882
"01",6,0.0293946537519159,0.510433307827945,1.02779955418211,0.0225220368232261,0.0206712196603289,1.18758498070385,0.791529070178378,0.41511491975882
"01",7,0.033856383826992,0.54194641708325,1.09832285928931,0.0172212662715247,0.0206712196603289,1.18758498070385,0.809960617613817,0.41511491975882
"01",8,0.0374579722462383,0.583946777565286,1.15822821970776,0.0110417888620342,0.0206712196603289,1.18758498070385,0.834526001824511,0.41511491975882
"01",9,0.0438384603552863,0.594568626396444,1.19762498751293,0.0112373717631887,0.0206712196603289,1.18758498070385,0.840738562730432,0.41511491975882
"01",10,0.0410028994316292,0.579395597980277,1.23769026683187,0.0169928384565692,0.0206712196603289,1.18758498070385,0.831864084787741,0.41511491975882
"01",11,0.0328576687236585,0.608973411446112,1.29308421145229,0.0116589000289624,0.0206712196603289,1.18758498070385,0.849163706590064,0.41511491975882
"01",12,0.0370519178542553,0.679847240216376,1.32292676709103,0.00789590117456309,0.0206712196603289,1.18758498070385,0.89061675161736,0.41511491975882
"01",13,0.0599033400141841,0.619451725405435,1.3582291950569,0.0114990718489247,0.0206712196603289,1.18758498070385,0.855292316090955,0.41511491975882
"01",14,0.0375269627462343,0.619294877782396,1.387012931114,0.00829169764893685,0.0206712196603289,1.18758498070385,0.855200578256368,0.41511491975882
"01",15,0.0580378500439284,0.574251378291764,1.40811714504661,0.00800993733320902,0.0206712196603289,1.18758498070385,0.828855307442446,0.41511491975882
"01",16,0.0412724029189565,0.68736579568721,1.44145915979758,0.0105244269374416,0.0206712196603289,1.18758498070385,0.895014242537216,0.41511491975882
"01",17,0.050969269028188,0.721775964845587,1.4693754478445,0.006723588212731,0.0206712196603289,1.18758498070385,0.915140237086526,0.41511491975882
"01",18,0.0472199333552371,0.645897985754965,1.49120117352619,0.00591227956159471,0.0206712196603289,1.18758498070385,0.870760339197569,0.41511491975882
"01",19,0.053776442254276,0.673589019679415,1.51898871845038,0.0101548257499529,0.0206712196603289,1.18758498070385,0.886956411796432,0.41511491975882
"01",20,0.0426855922919133,0.627241705374158,1.54563602121344,0.00534348952021999,0.0206712196603289,1.18758498070385,0.859848559150039,0.41511491975882
"01",21,0.0514707320554072,0.669860673970966,1.56050151656495,0.00611413613765743,0.0206712196603289,1.18758498070385,0.884775758017579,0.41511491975882
"01",22,0.0460395460124636,0.824270311019191,1.58834368539733,0.00805025111522795,0.0206712196603289,1.18758498070385,0.975087650972542,0.41511491975882
"01",23,0.0553313005814849,0.679052109857019,1.61129065715148,0.00528379143277684,0.0206712196603289,1.18758498070385,0.890151691733325,0.41511491975882
"01",24,0.0598527961552205,0.866048020948097,1.62574099367834,0.00486237257597884,0.0206712196603289,1.18758498070385,0.999522810196602,0.41511491975882
"01",25,0.0581485867488753,0.732763965722227,1.64688457113963,0.00724293855488862,0.0206712196603289,1.18758498070385,0.92156695486095,0.41511491975882
"01",26,0.0356444600885182,0.810625358079761,1.66580751144107,0.00510893218949066,0.0206712196603289,1.18758498070385,0.967106921577676,0.41511491975882
"01",27,0.0531098790920566,0.782381105717007,1.68564686492337,0.00438838558012004,0.0206712196603289,1.18758498070385,0.950587279768134,0.41511491975882
"01",28,0.0622571724130902,0.803713836580114,1.69750717215964,0.0030466736139791,0.0206712196603289,1.18758498070385,0.963064475770766,0.41511491975882
"01",29,0.0657665112016002,0.749015595331434,1.71487912736594,0.00641415010341046,0.0206712196603289,1.18758498070385,0.931072290548981,0.41511491975882
"01",30,0.0586796430809178,0.813204698772851,1.73140384837484,0.00364211012617897,0.0206712196603289,1.18758498070385,0.968615539465923,0.41511491975882
"01",31,0.0442947424364369,0.892878803498797,1.74920549868702,0.00691601678220397,0.0206712196603289,1.18758498070385,1.0152157346017,0.41511491975882
"01",32,0.0631794376957215,0.888289261166927,1.76769179612794,0.00626720043160321,0.0206712196603289,1.18758498070385,1.01253137976666,0.41511491975882
"01",33,0.0549331879186758,0.839969216422022,1.7855292100347,0.00496879824119492,0.0206712196603289,1.18758498070385,0.984269706518775,0.41511491975882
"01",34,0.0839281072179689,0.997833350308179,1.80142147550846,0.003502543868246,0.0206712196603289,1.18758498070385,1.07660208313398,0.41511491975882
"01",35,0.0521065588758791,0.811033705637558,1.81588367856688,0.00428075017216318,0.0206712196603289,1.18758498070385,0.967345757971784,0.41511491975882
"01",36,0.0591338084644166,0.810372302135594,1.83336444043114,0.00630084993359506,0.0206712196603289,1.18758498070385,0.966958912931467,0.41511491975882
"01",37,0.0606653596107448,0.844607937085478,1.85709496724047,0.00617342802549029,0.0206712196603289,1.18758498070385,0.986982825026237,0.41511491975882
"01",38,0.0561731107610506,0.888310168351929,1.8758406340551,0.00587123636854927,0.0206712196603289,1.18758498070385,1.01254360806723,0.41511491975882
