"ent","rank","sd_WC","ratio_WC","mean_","sd","sd_BC","ratio_BC","ratio"
"01",1,0.0183228421028551,0.259134237289599,0.186214380795624,0.315608785488622,0.0203972544870083,1.16862257244331,0.632128972882745
"01",2,0.0279011557403881,0.393828335077502,0.617188091239345,0.0472420012387748,0.0203972544870083,1.16862257244331,0.711583011564375
"01",3,0.0318894486597834,0.454282323680654,0.760864899274706,0.0294460052311714,0.0203972544870083,1.16862257244331,0.747243917482445
"01",4,0.0312770744479732,0.439554128610321,0.860067551077039,0.0334947538196507,0.0203972544870083,1.16862257244331,0.738555974951574
"01",5,0.0319768170041311,0.51827696902062,0.957041510033055,0.0249202236823054,0.0203972544870083,1.16862257244331,0.784993403983817
"01",6,0.0289228035647383,0.492676443717086,1.02779955418211,0.0225220368232261,0.0203972544870083,1.16862257244331,0.769892036060925
"01",7,0.0331565784043483,0.533423187912084,1.09832285928931,0.0172212662715247,0.0203972544870083,1.16862257244331,0.793927932529958
"01",8,0.0367110820629744,0.569048801233349,1.15822821970776,0.0110417888620342,0.0203972544870083,1.16862257244331,0.814942950302614
"01",9,0.0424564872288133,0.579416989275508,1.19762498751293,0.0112373717631887,0.0203972544870083,1.16862257244331,0.821058989737819
"01",10,0.0406290803429125,0.563260326737218,1.23769026683187,0.0169928384565692,0.0203972544870083,1.16862257244331,0.81152841555999
"01",11,0.0330744119780213,0.593419602471887,1.29308421145229,0.0116589000289624,0.0203972544870083,1.16862257244331,0.829318922346751
"01",12,0.0358985135021365,0.664636493365889,1.32292676709103,0.00789590117456309,0.0203972544870083,1.16862257244331,0.871328703746286
"01",13,0.0581291751032171,0.606061028100481,1.3582291950569,0.0114990718489247,0.0203972544870083,1.16862257244331,0.836775910718037
"01",14,0.0352812520433823,0.608029567651962,1.387012931114,0.00829169764893685,0.0203972544870083,1.16862257244331,0.837937122829321
"01",15,0.0559103376885067,0.561109123712012,1.40811714504661,0.00800993733320902,0.0203972544870083,1.16862257244331,0.810259452990851
"01",16,0.0405258824308842,0.67254058338491,1.44145915979758,0.0105244269374416,0.0203972544870083,1.16862257244331,0.87599120852139
"01",17,0.049053136512501,0.702496778596156,1.4693754478445,0.006723588212731,0.0203972544870083,1.16862257244331,0.893661921137296
"01",18,0.045831246234411,0.633021042931994,1.49120117352619,0.00591227956159471,0.0203972544870083,1.16862257244331,0.852679221230227
"01",19,0.0522424670477588,0.660523373444293,1.51898871845038,0.0101548257499529,0.0203972544870083,1.16862257244331,0.868902435671294
"01",20,0.0424316066335649,0.612288747864668,1.54563602121344,0.00534348952021999,0.0203972544870083,1.16862257244331,0.840449549690854
"01",21,0.0513849869032837,0.655769613719238,1.56050151656495,0.00611413613765743,0.0203972544870083,1.16862257244331,0.866098263734433
"01",22,0.044812174326763,0.809637219345266,1.58834368539733,0.00805025111522795,0.0203972544870083,1.16862257244331,0.956862468625661
"01",23,0.0540773573801586,0.665476096431488,1.61129065715148,0.00528379143277684,0.0203972544870083,1.16862257244331,0.871823973068008
"01",24,0.0579067792274798,0.835604060384019,1.62574099367834,0.00486237257597884,0.0203972544870083,1.16862257244331,0.972179920735415
"01",25,0.0577051264560574,0.718087140616069,1.64688457113963,0.00724293855488862,0.0203972544870083,1.16862257244331,0.902858443088402
"01",26,0.0355224929783899,0.791849439539362,1.66580751144107,0.00510893218949066,0.0203972544870083,1.16862257244331,0.946369722707543
"01",27,0.0537579295832297,0.767465337272669,1.68564686492337,0.00438838558012004,0.0203972544870083,1.16862257244331,0.931985904585345
"01",28,0.0609889528086319,0.790908600784179,1.69750717215964,0.0030466736139791,0.0203972544870083,1.16862257244331,0.945814735962948
"01",29,0.0658409901591606,0.739528010350163,1.71487912736594,0.00641415010341046,0.0203972544870083,1.16862257244331,0.915506092251939
"01",30,0.0562006722317811,0.805823346014748,1.73140384837484,0.00364211012617897,0.0203972544870083,1.16862257244331,0.954612721650058
"01",31,0.0425614067125143,0.874395015909692,1.74920549868702,0.00691601678220397,0.0203972544870083,1.16862257244331,0.995062126648309
"01",32,0.0581530245521878,0.866095469801401,1.76769179612794,0.00626720043160321,0.0203972544870083,1.16862257244331,0.990166348226255
"01",33,0.0529562215318788,0.819280049058852,1.7855292100347,0.00496879824119492,0.0203972544870083,1.16862257244331,0.962550630005011
"01",34,0.0807831375028064,0.978140519021956,1.80142147550846,0.003502543868246,0.0203972544870083,1.16862257244331,1.05626005107635
"01",35,0.0516567212736815,0.795860356312875,1.81588367856688,0.00428075017216318,0.0203972544870083,1.16862257244331,0.948735702670327
"01",36,0.0587688675555868,0.795731061749835,1.83336444043114,0.00630084993359506,0.0203972544870083,1.16862257244331,0.948659433736633
"01",37,0.0598616288542446,0.827282253675873,1.85709496724047,0.00617342802549029,0.0203972544870083,1.16862257244331,0.967271011117629
"01",38,0.0522074857738304,0.869647677843793,1.8758406340551,0.00587123636854927,0.0203972544870083,1.16862257244331,0.992261742752374
"01",39,0.0562588552124269,0.806385054217599,1.89490236806726,0.00490910816503951,0.0203972544870083,1.16862257244331,0.954944064938369
"01",40,0.0611856909151437,0.818121724588468,1.91371886429151,0.00583072367210561,0.0203972544870083,1.16862257244331,0.961867351681854
"01",41,0.0634661539096744,0.848679211980422,1.9302230551437,0.0037883967495719,0.0203972544870083,1.16862257244331,0.979892757584025
"01",42,0.0542351933410874,0.78725726121428,1.94801820608225,0.00505641941786126,0.0203972544870083,1.16862257244331,0.94366086522777
"01",43,0.0599560375139878,0.890386457310225,1.96438960991376,0.00578581545274963,0.0203972544870083,1.16862257244331,1.00449523934203
